manufacturerId,modelId,brand,category,marketStatus,researchClass,sizes,conduitTypes,hasNumericFacts
mfr-greenlee,model-greenlee-840a,"Greenlee",hand,active,chart_candidate,1/2,EMT,2
mfr-greenlee,model-greenlee-841a,"Greenlee",hand,active,chart_candidate,3/4,EMT|IMC|RMC,2
mfr-greenlee,model-greenlee-842a,"Greenlee",hand,active,chart_candidate,1,EMT|IMC|RMC,2
mfr-greenlee,model-greenlee-843a,"Greenlee",hand,active,chart_candidate,1-1/4,EMT|IMC|RMC,2
mfr-greenlee,model-greenlee-840f,"Greenlee",hand,active,chart_candidate,1/2,EMT|IMC|RMC,2
mfr-greenlee,model-greenlee-841f,"Greenlee",hand,active,chart_candidate,3/4,EMT|IMC|RMC,2
mfr-greenlee,model-greenlee-842f,"Greenlee",hand,active,chart_candidate,1,EMT|IMC|RMC,2
mfr-greenlee,model-greenlee-843f,"Greenlee",hand,active,chart_candidate,1-1/4,EMT|IMC|RMC,2
mfr-greenlee,model-greenlee-844a,"Greenlee",hand,active,chart_candidate,1/2|3/4,EMT|IMC|RMC,4
mfr-klein,model-klein-51608,"Klein Tools",hand,active,chart_candidate,1/2,EMT,2
mfr-klein,model-klein-51609,"Klein Tools",hand,active,chart_candidate,3/4,EMT,2
mfr-klein,model-klein-51610,"Klein Tools",hand,active,chart_candidate,1,EMT,2
mfr-klein,model-klein-51606,"Klein Tools",hand,active,chart_candidate,1/2,EMT,2
mfr-klein,model-klein-51607,"Klein Tools",hand,active,chart_candidate,3/4,EMT,2
mfr-gardner-bender,model-gardner-960,"Gardner Bender",hand,active,chart_candidate,1/2,EMT|IMC|RMC,2
mfr-gardner-bender,model-gardner-961,"Gardner Bender",hand,active,chart_candidate,3/4,EMT|IMC|RMC,2
mfr-gardner-bender,model-gardner-962,"Gardner Bender",hand,active,chart_candidate,1,EMT|IMC|RMC,2
mfr-ideal,model-ideal-74-031,"IDEAL",hand,active,chart_candidate,1/2,EMT,1
mfr-ideal,model-ideal-74-032,"IDEAL",hand,active,chart_candidate,3/4,EMT,1
